"X1","X2","X3","X4","X5","X6","X7","Y"
74,49,48,5,42,54,36,1
72,86,48,5,17,55,21,1
57,59,48,5,39,47,33,1
74,82,48,5,49,49,41,1
74,47,48,5,5,57,42,1
75,84,48,5,35,52,33,1
7,71,48,5,42,84,85,1
69,59,48,5,46,44,52,1
67,61,48,5,51,37,38,1
67,81,48,5,25,42,25,1
63,57,48,5,49,7,2,1
71,86,48,5,4,54,32,1
68,78,48,5,43,44,42,1
69,8,48,5,46,57,26,1
66,71,48,5,41,5,35,1
29,39,48,5,52,4,48,1
43,59,48,5,52,49,56,1
63,1,48,5,35,51,49,1
64,72,48,5,49,42,19,1
63,86,48,5,39,47,34,1
63,71,48,5,6,4,39,1
63,65,48,5,39,44,35,1
64,66,48,5,41,39,2,1
68,67,48,5,49,4,34,1
64,78,48,5,5,36,38,1
74,74,48,5,31,53,52,1
67,7,48,5,46,45,33,1
67,81,48,5,54,49,23,1
68,82,48,5,38,65,56,1
32,39,48,5,53,28,38,1
64,84,48,5,37,45,4,1
63,8,48,5,46,31,29,1
61,6,48,5,44,39,38,1
21,34,48,5,51,28,39,0
22,43,48,5,48,16,28,0
4,29,48,5,42,35,44,0
65,47,48,5,59,3,4,0
28,38,48,5,5,33,42,0
47,47,48,5,22,16,26,0
44,56,48,5,5,46,54,0
25,37,48,5,43,26,36,0
44,42,48,5,42,25,2,0
24,43,48,5,37,28,38,0
36,56,48,5,43,45,53,0
5,49,48,5,49,46,53,0
35,37,48,5,3,34,43,0
51,46,48,5,58,31,41,0
47,28,48,5,56,2,25,0
41,51,48,5,58,2,31,0
25,51,48,5,37,42,5,0
17,39,48,5,53,3,39,0
37,44,48,5,42,39,47,0
27,3,48,5,71,28,39,0
16,43,48,5,54,27,37,0
64,57,48,5,7,33,26,0
42,4,48,5,56,18,3,0
39,32,48,5,46,24,35,0
23,4,48,5,39,28,38,0
29,52,48,5,42,29,39,0
33,45,48,5,52,32,41,0
4,35,48,5,45,33,42,0
35,48,48,5,56,4,48,0
26,26,48,5,34,25,35,0
37,5,48,5,42,36,45,0
42,3,48,5,48,26,36,0
65,55,48,5,34,37,28,0
24,57,48,5,63,34,43,0
26,5,48,5,44,32,41,0
34,35,48,5,51,49,56,0
38,3,48,5,43,29,39,0
29,28,48,5,5,42,5,0
24,41,48,5,49,23,34,0
4,31,48,5,41,29,39,0
34,51,48,5,44,37,46,0
0,38,48,5,42,48,55,0
26,4,48,5,36,26,37,0
44,35,48,5,44,52,59,0
79,36,48,5,46,82,7,0
75,37,48,5,64,7,74,0
84,49,48,5,55,78,74,0
49,61,1,5,56,71,74,0
63,51,48,5,64,72,76,0
79,54,48,5,5,66,68,0
57,38,48,5,6,49,33,0
56,4,48,5,49,37,46,0
67,39,48,5,36,38,46,0
2,44,48,5,46,51,57,0
51,5,48,5,46,32,35,0
44,27,48,5,55,52,58,0
4,45,48,5,38,22,0,0
3,16,48,5,56,11,23,0
32,42,48,5,35,28,38,0
38,46,48,5,48,22,29,0
44,35,48,5,55,55,61,0
29,3,48,5,45,3,17,0
52,36,48,5,41,28,38,0
24,43,48,5,54,52,59,0
25,37,48,5,41,33,42,0
41,48,48,5,51,44,51,0
29,41,48,5,48,38,46,0
24,34,48,5,38,3,4,0
44,49,48,5,39,38,4,0
43,32,48,5,33,45,52,0
49,43,48,5,49,3,4,0
51,49,48,5,53,14,26,0
25,26,48,5,39,32,42,0
39,31,48,5,38,34,43,0
78,33,48,5,57,77,79,0
59,29,48,5,64,75,77,0
67,37,48,5,54,64,68,0
77,55,48,5,51,78,74,0
58,6,48,5,59,73,76,0
86,55,48,5,63,81,83,0
49,29,48,5,56,24,35,0
23,32,48,5,55,25,35,0
29,28,48,5,44,23,34,0
25,4,48,5,46,44,52,0
41,57,48,5,39,21,32,0
31,23,48,5,73,5,14,0
21,51,48,5,5,32,41,0
43,37,48,5,53,35,44,0
53,38,48,5,44,26,36,0
36,54,48,5,41,38,46,0
23,58,48,5,37,53,59,0
52,57,48,5,42,47,54,0
34,28,48,5,41,35,44,0
52,44,48,5,37,36,42,0
5,51,48,5,27,23,34,0
34,46,48,5,52,35,44,0
41,43,48,5,5,24,25,0
31,47,48,5,29,28,39,0
33,47,48,5,53,18,29,0
34,42,48,5,41,34,43,0
66,48,48,5,54,7,74,0
62,42,48,5,58,79,81,0
76,41,48,5,5,59,62,0
73,26,48,5,57,75,78,0
42,24,48,5,57,27,37,0
51,54,48,5,41,34,43,0
25,4,48,5,47,33,42,0
24,35,48,5,31,19,31,0
4,5,48,5,45,39,47,0
43,4,48,5,39,28,39,0
23,33,48,5,43,33,43,0
18,3,48,5,46,24,35,0
44,51,48,5,47,26,36,0
48,42,48,5,45,25,35,0
34,55,48,5,58,31,41,0
53,42,48,5,16,29,39,0
64,76,48,5,45,35,38,0
57,54,48,5,37,28,33,0
32,33,48,5,6,6,2,0
4,46,48,5,42,35,44,0
3,44,48,5,49,22,33,0
17,52,48,5,49,37,46,0
4,41,48,5,55,22,33,0
22,34,48,5,42,29,39,0
27,42,48,5,37,38,43,0
72,42,48,5,65,77,79,0
79,41,48,5,66,81,83,0
83,48,48,5,65,76,79,0
81,44,48,5,42,67,68,0
63,42,48,5,48,77,8,0
