@relation 04clover5z-800-7-0-BI
@attribute dim1 real[-573.0,535.0]
@attribute dim2 real[-413.0,412.0]
@attribute class{0,1}
@inputs dim1, dim2
@outputs class
@data
71,76,0
133,114,0
172,85,0
148,152,0
175,87,0
168,114,0
298,219,0
152,130,0
115,100,0
52,55,0
251,183,0
283,210,0
50,17,0
117,116,0
166,164,0
60,60,0
151,137,0
27,24,0
161,81,0
270,190,0
-45,202,0
-18,135,0
-27,180,0
-50,166,0
-79,259,0
-17,87,0
-68,157,0
-37,105,0
-40,162,0
-94,234,0
-69,131,0
-72,223,0
-109,267,0
-30,111,0
-34,99,0
-74,229,0
-95,170,0
-54,159,0
-53,162,0
-28,203,0
-96,-18,0
-334,4,0
-325,-28,0
-60,19,0
-51,-19,0
-373,13,0
-86,21,0
-172,20,0
-140,35,0
-127,-31,0
-249,-9,0
-367,12,0
-327,0,0
-156,29,0
-145,5,0
-35,11,0
-327,19,0
-222,7,0
-342,-12,0
-158,-13,0
-3,-112,0
-118,-308,0
-32,-226,0
-99,-321,0
-96,-255,0
-114,-353,0
-128,-350,0
-98,-279,0
-28,-146,0
-78,-189,0
5,-63,0
-77,-153,0
-49,-221,0
-109,-306,0
-70,-273,0
-89,-295,0
-73,-144,0
-128,-330,0
-112,-360,0
-110,-223,0
25,-15,0
239,-209,0
61,-63,0
148,-127,0
27,-27,0
32,-29,0
250,-157,0
258,-213,0
275,-214,0
140,-146,0
92,-54,0
98,-53,0
149,-151,0
222,-141,0
91,-29,0
112,-92,0
171,-116,0
303,-208,0
57,-51,0
212,-154,0
-14,346,1
-267,334,1
349,117,1
-99,-384,1
428,306,1
104,412,1
-185,82,1
-24,-377,1
208,-69,1
-468,-47,1
-332,-267,1
203,-264,1
-441,-79,1
368,132,1
239,-361,1
131,-17,1
-76,-363,1
491,231,1
128,336,1
112,-20,1
155,-328,1
-235,347,1
71,119,1
25,-392,1
-131,-249,1
406,30,1
-25,-273,1
328,-375,1
-349,68,1
-522,246,1
-398,-197,1
-532,-187,1
-199,-62,1
119,232,1
-338,116,1
-360,193,1
-186,-69,1
330,-94,1
234,-237,1
345,-238,1
67,-361,1
387,-292,1
533,101,1
163,-391,1
-376,-138,1
-127,-182,1
-280,-189,1
156,-182,1
449,-67,1
348,14,1
-383,127,1
170,-44,1
-356,143,1
-315,-403,1
479,-223,1
-164,-253,1
417,236,1
281,-287,1
11,359,1
-390,250,1
462,-358,1
457,-335,1
34,393,1
-102,-407,1
-139,-89,1
132,18,1
49,320,1
-305,-74,1
111,-256,1
468,138,1
-181,103,1
-418,-120,1
175,225,1
-310,-49,1
295,-89,1
244,-74,1
-208,304,1
-491,136,1
-87,-39,1
365,-182,1
507,207,1
-217,-190,1
-401,344,1
-409,-2,1
337,-149,1
-463,-412,1
353,-75,1
-1,-374,1
-445,41,1
-507,-242,1
-333,-85,1
-567,340,1
412,-61,1
-194,-144,1
501,222,1
218,-59,1
-401,-376,1
-573,59,1
-455,70,1
-175,-84,1
-98,-112,1
522,-137,1
-482,355,1
195,284,1
218,236,1
62,-220,1
-413,-372,1
328,-340,1
-492,111,1
69,-124,1
91,307,1
15,109,1
-295,131,1
94,-202,1
-512,-380,1
297,-363,1
-227,152,1
498,-328,1
104,210,1
371,32,1
48,-222,1
8,-250,1
124,-169,1
-164,402,1
110,138,1
128,-35,1
-389,382,1
466,-154,1
82,137,1
504,133,1
-433,-251,1
508,80,1
-325,-390,1
519,-224,1
-342,-208,1
344,-140,1
-342,-283,1
310,-126,1
-246,370,1
130,383,1
-371,-406,1
350,147,1
-73,-47,1
79,-160,1
-505,177,1
-44,320,1
-252,-366,1
297,91,1
505,-201,1
186,-352,1
-135,-239,1
410,-2,1
-159,-88,1
361,337,1
219,402,1
-210,-411,1
32,-96,1
416,-185,1
124,264,1
209,59,1
-297,376,1
367,24,1
22,-189,1
279,310,1
-435,-271,1
189,35,1
-64,-384,1
424,18,1
-246,69,1
293,-76,1
531,-168,1
-41,-372,1
93,280,1
65,136,1
120,33,1
-567,167,1
194,81,1
36,-126,1
-295,292,1
125,-233,1
-101,411,1
375,-362,1
40,-224,1
-182,81,1
415,-269,1
-222,-119,1
-119,-72,1
360,166,1
472,-35,1
67,-164,1
478,37,1
348,298,1
350,260,1
485,-117,1
240,-53,1
114,232,1
-386,-183,1
-170,-109,1
-151,-255,1
-338,157,1
438,-84,1
-455,-358,1
475,-33,1
-28,-308,1
189,266,1
225,342,1
444,94,1
-377,286,1
-531,87,1
-508,194,1
400,-253,1
309,-146,1
-398,-281,1
228,287,1
509,405,1
118,186,1
187,-359,1
461,385,1
-205,-151,1
-424,-282,1
-444,385,1
-214,-324,1
-327,-59,1
-59,-30,1
98,283,1
-499,-315,1
379,390,1
-508,361,1
-112,-214,1
197,250,1
526,80,1
414,30,1
78,399,1
-394,-86,1
-148,289,1
281,15,1
498,-276,1
376,65,1
405,186,1
296,46,1
435,99,1
-115,185,1
-202,-175,1
502,-243,1
235,-104,1
-222,393,1
20,-298,1
-481,47,1
-398,79,1
446,-204,1
401,-391,1
259,-133,1
-337,177,1
-156,-139,1
503,145,1
37,237,1
-11,-378,1
-270,95,1
490,-319,1
476,-370,1
425,-211,1
186,-84,1
460,52,1
1,381,1
226,49,1
-554,81,1
473,162,1
-408,306,1
-170,76,1
315,-325,1
-529,197,1
-297,-76,1
522,286,1
-253,-285,1
-216,89,1
-384,-195,1
-538,377,1
313,-396,1
386,318,1
-15,199,1
305,395,1
120,-20,1
-499,-401,1
464,-39,1
-241,-282,1
102,-263,1
412,242,1
-514,71,1
-262,-238,1
-467,90,1
196,-387,1
51,-178,1
173,-294,1
263,-413,1
56,-94,1
134,44,1
185,-262,1
349,-184,1
496,99,1
-395,163,1
240,-19,1
285,-358,1
232,98,1
260,-2,1
300,390,1
535,326,1
-405,22,1
-1,-172,1
449,-191,1
488,-300,1
427,201,1
-451,137,1
-37,401,1
379,376,1
-547,-124,1
-486,-291,1
-234,-228,1
-295,-383,1
-540,-286,1
-419,-47,1
410,319,1
-265,-177,1
-476,373,1
51,78,1
-206,-334,1
-514,-109,1
330,-106,1
445,-63,1
-181,213,1
-448,-156,1
-273,-276,1
-90,408,1
473,-69,1
26,96,1
-411,-330,1
-165,81,1
-420,-359,1
311,-273,1
-562,92,1
99,210,1
522,-281,1
129,-43,1
-486,384,1
398,334,1
70,361,1
440,-299,1
170,-316,1
50,255,1
-548,0,1
526,332,1
-391,71,1
59,408,1
510,-124,1
188,188,1
375,-90,1
-399,-259,1
79,265,1
348,-199,1
441,-128,1
513,-92,1
-222,-171,1
-272,231,1
-29,351,1
-197,-255,1
137,-304,1
5,-248,1
-76,35,1
-206,-309,1
-458,-299,1
111,343,1
-252,169,1
-360,322,1
-180,284,1
412,143,1
-313,247,1
118,39,1
348,-366,1
-463,-256,1
215,44,1
-410,-390,1
453,-167,1
239,-59,1
312,3,1
268,-399,1
433,-46,1
207,-15,1
451,206,1
139,46,1
-498,-205,1
-189,160,1
321,65,1
447,149,1
261,-62,1
45,-318,1
-176,74,1
302,-288,1
-533,-188,1
53,153,1
216,360,1
480,-154,1
473,170,1
489,-321,1
371,-122,1
-374,-107,1
-333,-308,1
-162,40,1
-456,170,1
9,406,1
286,318,1
-239,282,1
71,-176,1
-263,270,1
-454,239,1
220,1,1
-15,383,1
442,-244,1
216,54,1
-142,378,1
-572,411,1
54,172,1
420,258,1
-311,79,1
-162,249,1
490,166,1
198,-344,1
-472,-1,1
243,390,1
-537,121,1
-413,-351,1
-433,11,1
455,-117,1
-73,386,1
-351,153,1
-347,169,1
148,-246,1
496,-121,1
-127,126,1
-23,-265,1
355,-42,1
-521,-310,1
-377,141,1
-137,278,1
490,-14,1
210,355,1
16,309,1
2,-279,1
-226,384,1
-525,260,1
-283,406,1
-525,-412,1
35,396,1
297,-55,1
399,260,1
-391,-256,1
-55,315,1
368,-64,1
265,402,1
406,-276,1
-410,327,1
-24,346,1
462,327,1
432,-347,1
18,75,1
-151,162,1
285,-116,1
36,-300,1
377,162,1
-404,-73,1
-128,199,1
444,-38,1
382,-401,1
348,-112,1
76,-382,1
-149,280,1
506,341,1
-14,381,1
484,368,1
-496,-127,1
324,88,1
-486,-22,1
-191,291,1
-364,-207,1
114,-347,1
5,-155,1
388,-323,1
-111,390,1
-369,29,1
351,15,1
166,-309,1
93,17,1
-417,-198,1
14,369,1
461,-348,1
-254,-234,1
226,-214,1
133,287,1
96,-282,1
-289,325,1
467,-286,1
448,-172,1
-133,-224,1
-290,-367,1
486,-382,1
90,-24,1
-370,-211,1
332,107,1
-226,80,1
-551,-315,1
-524,-409,1
-306,-249,1
462,-115,1
-500,79,1
8,-352,1
-414,307,1
-480,-305,1
-320,-85,1
437,365,1
-413,-266,1
233,-39,1
134,-338,1
56,227,1
84,116,1
450,-384,1
-9,411,1
-330,-115,1
251,-361,1
183,295,1
-345,336,1
200,227,1
519,-342,1
-429,-204,1
147,184,1
-223,-365,1
-102,-389,1
419,-175,1
-397,1,1
477,-177,1
437,-367,1
-531,-113,1
251,-73,1
456,294,1
-291,-272,1
-487,303,1
327,181,1
179,352,1
167,-45,1
36,-296,1
-395,-280,1
-128,-393,1
435,-367,1
70,380,1
-567,-84,1
-444,-94,1
22,191,1
162,284,1
-8,216,1
-16,220,1
242,-311,1
380,-365,1
-376,-21,1
479,90,1
-171,57,1
-303,-287,1
29,328,1
449,49,1
-191,-298,1
377,22,1
66,-202,1
-382,-22,1
-552,-218,1
134,171,1
-165,347,1
399,-272,1
-281,-345,1
481,-94,1
14,293,1
-291,218,1
-398,-335,1
430,-210,1
104,-270,1
79,-296,1
337,-189,1
-233,-106,1
-160,80,1
317,-305,1
-343,330,1
-384,349,1
-357,-222,1
522,342,1
125,279,1
-163,-233,1
-195,269,1
-159,258,1
54,-156,1
-498,80,1
350,79,1
-133,-358,1
-463,-72,1
479,-153,1
-35,275,1
-256,123,1
-538,-165,1
519,-217,1
457,279,1
504,374,1
-568,-400,1
-4,-261,1
-472,355,1
-5,-310,1
4,-297,1
432,199,1
-145,-157,1
163,390,1
505,-264,1
-184,-375,1
-365,278,1
-267,-364,1
-454,-115,1
-564,-386,1
448,28,1
142,192,1
-389,-296,1
448,351,1
347,-30,1
-460,79,1
143,197,1
-179,185,1
-123,68,1
-322,-280,1
-171,121,1
-282,-239,1
-398,-394,1
247,-109,1
-500,-23,1
434,-10,1
150,19,1
305,-103,1
483,-89,1
101,253,1
-540,293,1
-287,367,1
