@relation paw02a-600-5-60-BI
@attribute dim1 real[-62.0,762.0]
@attribute dim2 real[66.0,990.0]
@attribute class{0,1}
@inputs dim1, dim2
@outputs class
@data
358,400,0
194,614,0
623,660,0
613,734,0
415,294,0
224,622,0
527,363,0
145,499,0
268,325,0
298,485,0
366,493,0
422,495,0
373,563,0
509,848,0
606,633,0
347,386,0
399,280,0
316,366,0
615,609,0
502,350,0
121,552,0
286,645,0
259,656,0
403,352,0
315,732,0
349,339,0
301,479,0
514,233,0
399,335,0
125,408,0
386,409,0
441,358,0
179,607,0
359,484,0
455,526,0
594,387,0
542,331,0
433,684,0
588,652,0
301,632,0
456,825,0
438,844,0
487,276,0
349,757,0
180,407,0
386,836,0
390,626,0
435,629,0
318,627,0
411,757,0
476,702,0
538,648,0
543,469,0
459,489,0
551,295,0
301,267,0
517,630,0
461,661,0
443,807,0
268,309,0
360,523,0
518,638,0
463,778,0
342,463,0
488,649,0
287,383,0
541,646,0
538,808,0
313,731,0
252,459,0
175,563,0
234,433,0
263,553,0
501,497,0
393,798,0
307,515,0
229,437,0
492,846,0
241,673,0
274,410,0
159,507,0
590,722,0
156,540,0
291,260,0
111,601,0
140,617,0
299,549,0
458,540,0
322,567,0
249,410,0
200,526,0
343,662,0
255,412,0
373,751,0
192,576,0
220,479,0
253,516,0
338,524,0
430,575,0
282,501,0
510,810,1
756,619,1
672,564,1
445,577,1
422,976,1
69,433,1
252,854,1
573,547,1
734,220,1
643,603,1
665,738,1
584,581,1
687,641,1
277,736,1
308,876,1
545,736,1
212,332,1
738,257,1
539,412,1
197,969,1
378,195,1
4,582,1
66,618,1
696,300,1
662,91,1
556,379,1
111,727,1
247,373,1
738,692,1
391,795,1
354,105,1
162,636,1
728,172,1
718,114,1
681,292,1
502,434,1
706,588,1
364,956,1
532,584,1
-49,620,1
716,711,1
59,873,1
236,615,1
598,165,1
-31,751,1
316,634,1
141,443,1
753,849,1
174,210,1
202,629,1
76,311,1
-37,951,1
596,85,1
279,274,1
651,886,1
352,753,1
591,972,1
453,506,1
-8,79,1
709,485,1
183,212,1
439,234,1
671,800,1
-19,609,1
167,263,1
15,630,1
510,95,1
492,199,1
559,66,1
463,578,1
502,235,1
624,322,1
733,641,1
69,713,1
542,507,1
576,128,1
557,526,1
587,966,1
566,342,1
762,895,1
92,517,1
61,555,1
698,315,1
727,192,1
682,755,1
79,534,1
27,683,1
335,978,1
646,951,1
-44,389,1
1,203,1
188,273,1
143,99,1
-38,208,1
51,476,1
669,886,1
281,276,1
165,330,1
8,947,1
209,155,1
331,679,1
-19,406,1
609,410,1
695,458,1
228,768,1
29,354,1
160,220,1
296,986,1
716,451,1
57,158,1
240,620,1
50,126,1
595,223,1
