"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","Y"
1,"43","2","3","7","1","1","3","4","0","1"
2,"36","3","3","8","1","1","3","2","0","1"
3,"27","2","3","3","1","1","3","4","0","1"
5,"25","3","3","4","1","1","3","2","0","1"
6,"28","2","2","1","1","1","2","4","0","1"
8,"25","1","4","1","1","1","2","1","0","1"
9,"32","4","4","2","1","1","2","3","0","1"
10,"49","4","4","7","0","1","2","4","0","1"
12,"43","4","4","5","1","0","1","4","0","1"
13,"49","4","4","6","1","1","1","2","0","1"
14,"42","3","3","10","1","1","3","3","0","1"
16,"22","2","3","1","1","1","2","1","0","1"
17,"24","2","4","1","1","1","3","1","0","1"
18,"24","2","4","1","1","0","4","4","0","1"
20,"46","2","4","6","1","1","1","4","0","1"
21,"41","1","3","10","1","1","2","3","1","1"
23,"17","2","2","3","1","1","3","1","0","1"
25,"26","3","4","2","1","1","3","3","0","1"
26,"44","2","1","3","1","0","3","2","0","1"
27,"48","3","4","3","1","1","3","1","0","1"
28,"48","1","2","8","1","1","3","1","0","1"
29,"26","3","3","3","1","0","2","4","0","1"
30,"24","4","4","2","1","1","3","3","0","1"
31,"21","3","3","2","1","1","2","2","0","1"
33,"22","2","4","1","1","1","2","4","0","1"
34,"22","3","3","2","1","1","3","4","0","1"
35,"28","4","4","0","0","1","1","3","0","1"
37,"20","2","4","0","1","1","3","2","0","1"
38,"25","2","2","3","1","0","3","1","0","1"
39,"27","2","3","2","1","1","3","3","0","1"
40,"22","2","3","2","1","1","3","1","0","1"
41,"26","3","4","3","1","1","3","2","0","1"
42,"42","3","2","1","1","1","3","3","0","1"
43,"34","3","2","8","1","0","2","3","1","1"
45,"37","2","3","5","1","0","3","2","0","1"
47,"25","3","3","1","1","1","3","2","0","1"
48,"39","3","3","1","0","1","3","4","0","1"
49,"22","3","3","0","1","1","2","2","0","1"
50,"31","2","4","5","1","1","3","2","0","1"
51,"45","3","4","6","1","1","2","4","0","1"
52,"38","3","3","7","1","1","3","1","0","1"
53,"30","4","4","2","1","1","1","4","0","1"
54,"28","3","4","1","1","1","3","4","0","1"
55,"25","3","4","1","1","1","2","1","0","1"
56,"23","3","4","2","1","0","2","3","0","1"
57,"21","2","4","2","1","1","3","1","0","1"
58,"29","2","4","2","1","0","4","4","1","1"
59,"23","2","4","4","1","1","3","3","0","1"
60,"22","2","1","0","1","1","3","2","0","1"
61,"40","4","4","3","1","1","3","4","0","1"
64,"40","4","4","2","1","1","3","4","0","1"
65,"36","2","2","0","0","0","3","3","0","1"
66,"28","1","4","2","1","0","2","3","0","1"
67,"40","1","1","2","1","0","3","4","0","1"
68,"45","3","4","2","0","1","1","4","0","1"
70,"28","4","4","1","0","1","1","3","0","1"
71,"25","4","4","1","0","1","2","3","0","1"
72,"39","3","4","1","0","1","3","4","0","1"
73,"30","4","4","3","1","0","2","4","0","1"
74,"28","4","4","1","0","1","2","4","0","1"
75,"25","3","3","1","1","1","3","1","0","1"
76,"35","2","3","8","1","1","3","2","0","1"
79,"49","1","3","0","1","1","3","3","1","1"
80,"46","1","2","8","1","1","3","3","1","1"
82,"44","4","4","3","1","0","1","4","1","1"
83,"19","4","4","0","0","1","3","4","0","1"
84,"23","3","3","2","1","1","3","3","0","1"
85,"47","3","3","2","1","1","2","4","0","1"
86,"35","3","3","2","1","0","2","2","0","1"
87,"19","3","3","1","1","1","2","4","0","1"
203,"27","2","4","1","1","0","1","1","0","1"
206,"39","2","2","5","1","0","3","2","1","1"
207,"49","2","3","4","1","1","2","3","0","1"
210,"23","3","3","1","1","0","2","4","0","1"
211,"24","3","4","0","1","0","2","3","0","1"
212,"43","2","3","3","0","1","2","3","0","1"
215,"37","3","4","7","1","1","3","4","0","1"
216,"25","3","4","3","1","1","1","1","0","1"
217,"27","4","4","2","1","0","1","4","0","1"
218,"46","3","1","5","1","1","3","2","0","1"
219,"25","3","3","1","1","1","2","2","0","1"
221,"31","3","3","1","1","0","3","4","0","1"
222,"36","2","3","6","1","1","2","3","0","1"
223,"25","2","3","2","1","1","3","2","0","1"
224,"45","2","3","6","1","1","3","2","1","1"
228,"48","4","4","1","0","1","1","4","0","1"
229,"45","4","4","1","1","1","1","4","0","1"
230,"25","3","2","1","1","0","3","3","0","1"
231,"31","3","4","3","0","0","2","4","0","1"
235,"34","1","3","4","1","0","3","4","0","1"
236,"31","3","2","1","1","1","3","4","0","1"
